x,y
797.0364285597565,1189.0
797.0495470207796,1163.0
797.0621800795782,1105.0
797.0748135962986,1088.0
797.0874475709657,1133.0
797.1005679524671,1157.0
797.1132028607178,1102.0
797.1258382269908,1065.0
797.1389600537018,1085.0
797.1515963537126,1130.0
797.1642331118215,1105.0
797.1768703280534,1077.0
797.189994075982,1021.0
797.2026322261568,1066.0
797.2152708345301,1098.0
797.2279099011271,1069.0
797.2410355706952,1038.0
797.2536755714402,1057.0
797.2663160304845,1041.0
797.278956947853,1056.0
797.2920845394827,1037.0
797.3047263912046,997.0
797.3173687013262,1001.0
797.3300114698728,991.0
797.3431409839864,993.0
797.3557846870915,1012.0
797.3684288486972,1004.0
797.3810734688287,963.0
797.3942049058484,975.0
797.4068504607437,985.0
797.4194964742404,961.0
797.4321429463633,979.0
797.4447898771375,974.0
797.4579237138039,950.0
797.4705715795982,935.0
797.4832199041196,979.0
797.495868687393,970.0
797.5090044479153,933.0
797.5216541664145,937.0
797.5343043437413,971.0
797.546954979921,966.0
797.5596060749785,916.0
797.5727442363328,935.0
797.5853962668723,941.0
797.5980487563655,946.0
797.6107017048374,945.0
797.6233551123128,933.0
797.6364956751573,938.0
797.6491500183713,943.0
797.6618048206648,972.0
797.6744600820626,941.0
797.68711580259,904.0
797.7002587675835,909.0
797.712915424106,947.0
797.7255725398339,943.0
797.7382301147924,930.0
797.750888149006,884.0
797.7640335168069,913.0
797.7766924872724,945.0
797.7893519170692,911.0
797.8020118062225,928.0
797.814672154757,893.0
797.8273329626979,871.0
797.8404812110674,908.0
797.8531429555679,914.0
797.8658051595507,906.0
797.8784678230409,893.0
797.8911309460633,883.0
797.9037945286432,897.0
797.9169456585284,903.0
797.9296101779757,899.0
797.9422751570564,881.0
797.9549405957956,870.0
797.9676064942181,899.0
797.9802728523491,899.0
797.9934268646975,939.0
798.006094160004,858.0
798.0187619150951,874.0
798.0314301299956,872.0
798.0440988047308,907.0
798.0567679393255,899.0
798.069437533805,845.0
798.0825949071632,845.0
798.0952654391773,908.0
798.1079364311522,921.0
798.1206078831128,897.0
798.1332797950844,881.0
798.1459521670918,871.0
798.1586249991601,920.0
798.1717857348166,930.0
798.184459504779,899.0
798.1971337348787,917.0
798.2098084251403,902.0
798.2224835755892,917.0
798.2351591862504,919.0
798.2478352571487,915.0
798.2605117883097,911.0
798.2731887797579,877.0
798.2863538350102,917.0
798.2990317648145,933.0
798.3117101549823,940.0
798.3243890055389,946.0
798.3370683165092,916.0
798.3497480879184,884.0
798.3624283197917,924.0
798.3751090121538,937.0
798.3877901650301,913.0
798.4004717784456,886.0
798.4136416336996,917.0
798.4263241859843,949.0
798.4390071988844,907.0
798.451690672425,896.0
798.4643746066313,890.0
798.4770590015285,939.0
798.4897438571411,915.0
798.502429173495,942.0
798.5151149506147,881.0
798.5278011885257,891.0
798.5404878872529,902.0
798.5531750468214,927.0
798.5658626672563,872.0
798.5790387609154,848.0
798.5917273208868,883.0
798.6044163418007,898.0
798.6171058236828,875.0
798.6297957665577,893.0
798.6424861704508,867.0
798.6551770353872,878.0
798.6678683613919,880.0
798.6805601484903,877.0
798.6932523967071,885.0
798.7059451060677,807.0
798.7186382765972,823.0
798.7313319083207,858.0
798.7440260012635,841.0
798.7567205554504,874.0
798.769415570907,787.0
798.782111047658,810.0
798.7948069857289,845.0
798.8075033851444,838.0
798.8206885959436,847.0
798.832897568111,817.0
798.8455953517121,834.0
798.8587820000147,795.0
798.8714807242812,850.0
798.8841799100446,840.0
798.89687955733,798.0
798.9095796661622,800.0
798.9222802365668,843.0
798.9349812685688,842.0
798.9476827621934,822.0
798.9603847174656,791.0
798.9730871344108,799.0
798.985790013054,823.0
798.9984933534205,823.0
799.0111971555353,831.0
799.0239014194237,797.0
799.036606145111,791.0
799.0493113326222,835.0
799.0620169819824,813.0
799.074723093217,808.0
799.0874296663512,791.0
799.1001367014101,801.0
799.1128441984187,819.0
799.1255521574025,811.0
799.1382605783864,803.0
799.1509694613958,808.0
799.1636788064559,793.0
799.1763886135918,787.0
799.1890988828288,797.0
799.2018096141921,808.0
799.2140319071025,813.0
799.2267435450174,769.0
799.2399445812914,785.0
799.252168207475,787.0
799.2648812320682,785.0
799.2775947189378,792.0
799.2903086681093,759.0
799.3030230796078,788.0
799.3157379534583,766.0
799.3284532896863,763.0
799.3411690883169,757.0
799.3538853493753,749.0
799.366602072887,763.0
799.3793192588768,779.0
799.3920369073701,764.0
799.4047550183922,738.0
799.4174735919682,750.0
799.4301926281236,758.0
799.4429121268834,771.0
799.4556320882729,739.0
799.4683525123173,729.0
799.481073399042,719.0
799.4933054572454,759.0
799.5060272516083,735.0
799.5187495087262,735.0
799.5314722286244,707.0
799.5441954113278,702.0
799.5569190568621,747.0
799.5696431652523,725.0
799.5823677365237,730.0
799.5950927707015,655.0
799.6078182678111,717.0
799.6205442278778,721.0
799.6332706509266,697.0
799.6459975369831,699.0
799.6587248860724,688.0
799.6709631584205,679.0
799.6836914158396,683.0
799.6964201363666,675.0
799.7091493200264,727.0
799.7218789668444,681.0
799.7346090768459,663.0
799.7473396500561,698.0
799.7600706865003,719.0
799.7728021862039,699.0
799.785534149192,671.0
799.797776858219,646.0
799.8105097300312,680.0
799.8232430652029,680.0
799.8359768637595,672.0
799.8487111257259,677.0
799.861445851128,665.0
799.8741810399907,685.0
799.8869166923394,676.0
799.8991629490182,691.0
799.9118995105858,666.0
799.9246365357145,647.0
799.9373740244295,687.0
799.9501119767559,708.0
799.9628503927192,691.0
799.9755892723447,673.0
799.9883286156576,660.0
800.0005784215306,693.0
800.013318674458,723.0
800.0260593911479,707.0
800.0388005716254,677.0
800.0515422159162,698.0
800.0642843240454,714.0
800.0770268960383,687.0
800.0892798065775,703.0
800.1020232885307,733.0
800.1147672344225,705.0
800.1275116442787,701.0
800.1402565181243,747.0
800.1530018559846,736.0
800.1652574261541,741.0
800.178003674271,740.0
800.1907503864777,723.0
800.2034975627996,755.0
800.2162452032621,795.0
800.2289933078905,761.0
800.2412515385564,727.0
800.2540005537378,761.0
800.2667500331601,787.0
