Date and Time:                Wed May 10 18:15:18.000 2023
Software Version:             4.32.30065.0
Temperature (C):              -80
Model:                        DU416_LD,DD
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Fully AUTO
TTL level:                    High
Time to open:                 10 ms
Time to close:                0 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 32.25
Pixel Readout Time (usecs):   10
Serial Number:                26091
Pre-Amplifier Gain:           1.700000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY328i:
Serial Number:                
1701.752	68637
1702.2957	68649
1702.8394	68678
1703.382	68653
1703.9257	68652
1704.468	68620
1705.0116	68647
1705.5551	68644
1706.0973	68600
1706.6409	68650
1707.1831	68619
1707.7263	68637
1708.2686	68636
1708.8118	68638
1709.3539	68600
1709.897	68616
1710.439	68655
1710.981	68628
1711.5239	68623
1712.0658	68648
1712.6088	68634
1713.1504	68627
1713.6923	68619
1714.235	68631
1714.7766	68612
1715.3182	68604
1715.861	68630
1716.4025	68608
1716.9438	68634
1717.4854	68643
1718.0278	68634
1718.5691	68656
1719.1104	68647
1719.6517	68617
1720.1929	68628
1720.7341	68629
1721.2762	68586
1721.8173	68604
1722.3583	68613
1722.8994	68607
1723.4403	68625
1723.9811	68604
1724.5221	68602
1725.0629	68644
1725.6035	68614
1726.1444	68599
1726.6851	68622
1727.2257	68591
1727.7662	68630
1728.3068	68599
1728.8474	68560
1729.3878	68595
1729.9282	68595
1730.4675	68609
1731.0078	68600
1731.5481	68611
1732.0884	68605
1732.6285	68582
1733.1687	68586
1733.7076	68616
1734.2478	68565
1734.7878	68609
1735.3279	68613
1735.8667	68602
1736.4066	68607
1736.9464	68608
1737.4852	68587
1738.0249	68614
1738.5646	68628
1739.1033	68574
1739.6428	68604
1740.1814	68644
1740.7209	68622
1741.2605	68631
1741.7988	68594
1742.3383	68611
1742.8765	68623
1743.4159	68612
1743.954	68603
1744.4933	68569
1745.0314	68560
1745.5706	68562
1746.1085	68565
1746.6466	68609
1747.1855	68584
1747.7235	68611
1748.2614	68592
1748.8003	68559
1749.338	68584
1749.8757	68583
1750.4146	68598
1750.9521	68562
1751.4897	68598
1752.0283	68570
1752.5659	68558
1753.1034	68589
